"isbn","title","isbn_10","isbn_13","quantity","full_title","date_inserted","date_updated","description","authors"
"9782505014133","Bonne nuit Punpun - Tome 01",,,,,"2022-08-28 12:07:14.304012","2022-08-28 16:24:03.316131","Partis à la recherche du trésor de la cassette vidéo Punpun, Aiko et leurs camarades se retrouvent dans une usine désaffectée. Ils vont en être quittes pour quelques bonnes frayeurs.","Inio Asano"
"9782800120539","Le trépassé de Kermellec",,,,,"2022-08-28 15:05:22.326711","2022-08-28 15:05:22.326711","Aux yeux des uns, il est Yann de Kermeur, noble et Breton. Pour les autres, c'est l'Epervier, corsaire prestigieux. D'aucuns ne voient en lui qu'un criminel. Pour tous, il est redoutable.","Patrice Pellerin"
"9782290076606","Le solfège",,,,,"2022-08-28 15:20:12.195126","2022-08-28 15:20:12.195126","Passage obligé de tout musicien en herbe, le solfège n'est pas qu'une formalité rébarbative : c'est ce que prouve cet ouvrage. Loin des théories et des exercices fastidieux, cette méthode réinvente le solfège avec un joyeux mélange d'humour et de rigueur. De la simple lecture d'une partition à son interprétation virtuose en passant par l'étude des rythmes, ce petit guide vous initie pas à pas à la musique sans vous en dégoûter. Oubliez vos mauvais souvenirs, et prenez plaisir à apprendre!","Daniel Ichbiah"
"9782218743399","Contes merveilleux",,,,,"2022-08-28 15:33:18.252857","2022-08-28 15:33:18.252857","Après une présentation du conte merveilleux en général, quatre parties proposent des extraits de contes : contes anciens venus d'Orient, contes venus d'ailleurs, contes traditionnels d'Europe, contes français d'autrefois et d'aujourd'hui. Des questions permettent à l'élève de faire la synthèse de ses lectures.","Sophie Valle"
"9782012020856","Non stop",,,,,"2022-08-28 15:41:23.659119","2022-08-28 15:41:23.659119","9 septembre 2012, Manhattan. Un homme ordinaire reçoit une enveloppe anonyme et se met à marcher en direction du métro. À peine s’est-il arrêté sur le quai de la station qu’il explose, semant la mort autour de lui. Très vite, les mises en marche et explosions de ce genre se multiplient à une allure folle. Sam Pollack et Liz Mc Geary, les deux agents chargés de l’enquête, doivent admettre qu’ils sont confrontés à une attaque terroriste d’une envergure inouïe. Une attaque non revendiquée et d’autant plus difficile à contrer qu’elle transforme des innocents en bombes humaines, faisant d’eux les agents de ce scénario apocalyptique. Tous se sont vu implanter un pacemaker piégé dans les deux dernières années. Tous reçoivent ces fameuses enveloppes kraft et se mettent à marcher. S'ils s’arrêtent, la charge explosive se déclenche, où qu’ils soient. Quels que soient leur âge, leur sexe et leur couleur de peau. La cavale sans fin de ceux qu'on appelle les Death Walkers, les marcheurs de la mort, ne fait que commencer.","Frédéric Mars"
"9782701110004","Flore complète portative de la France, de la Suisse et de la Belgique",,,1,,"2022-07-11 21:14:16.371165","2022-08-28 16:24:03.316131","Flore de la France, Suisse et Belgique","Gaston Bonnier"
"9782344048276","Blue Giant Supreme - Tome 07",,,,,"2022-07-11 21:44:38.885077","2022-08-28 16:24:03.316131","Alors qu’ils se préparent à ouvrir la première édition du festival, Dai et son groupe montent sur scène accompagnés des pensées des organisateurs amateurs, d’ados dont c’est la première scène, d’une légende qui se produit pour l’argent… Puis, le quartet croise la route d’un saxophoniste ténor remarquablement doué, du même âge que Dai…","Shinichi Ishizuka"
"9782811657789","Elle et son chat",,,1,,"2022-07-11 21:21:52.731172","2022-08-28 16:24:03.316131","Chobi savoure sa vie de chat  auprès de la maîtresse qui l’a recueilli, une jeune femme connaissant à la fois les avantages de l’indépendance et les affres de la solitude. Les yeux du félin assistent à ce quotidien qui s’écoule lentement, oscillant entre moments chaleureux et moments teintés d’amertume, entre jours de soleil et jours de pluie.","Tsubasa Yamaguchi"
"9782344045503","Blue Giant Supreme - Tome 06",,,,,"2022-07-11 21:44:42.62779","2022-08-28 16:24:03.316131","Pendant sa tournée des petites salles, le quartet de Dai décide d’utiliser le piano en accès libre de l’aéroport de Francfort à des fins promotionnelles. Mais alors que Bruno s’approche pour en jouer, il trouve la place occupée par son ancien rival et star montante de la musique classique… Il lui propose alors un duo classique et jazz !","Shinichi Ishizuka"
"9782723445719","Dragon Ball Coffret en 2 volumes : Tome 5, L'ultime combat ; Tome 6, L'empire du ruban rouge",,,,,"2022-08-28 12:27:17.504988","2022-08-28 16:24:03.316131","Goku’s adventure from the best-selling classic manga Dragon Ball continues in this new series written by Akira Toriyama himself!Ever since Goku became Earth’s greatest hero and gathered the seven Dragon Balls to defeat the evil Boo, his life on Earth has grown a little dull. But new threats loom overhead, and Goku and his friends will have to defend the planet once again in this continuation of Akira Toriyama’s best-selling series, Dragon Ball!","Akira Toriyama"
